Episode,Reward,Frames,Epsilon
277,-2,584503,0.01
278,0,586559,0.01
279,2,588615,0.01
280,3,590671,0.01
281,1,592727,0.01
282,-2,594783,0.01
283,6,596839,0.01
284,2,598895,0.01
285,1,600951,0.01
286,8,603007,0.01
287,7,605063,0.01
288,7,607119,0.01
289,7,609175,0.01
290,9,611231,0.01
291,0,613287,0.01
292,-2,615343,0.01
293,-2,617399,0.01
294,8,619455,0.01
295,15,621511,0.01
296,5,623567,0.01
297,-1,625623,0.01
298,-2,627679,0.01
299,7,629735,0.01
300,6,631791,0.01
301,5,633847,0.01
302,14,635903,0.01
303,14,637959,0.01
304,20,640015,0.01
305,21,642071,0.01
306,19,644127,0.01
307,17,646183,0.01
308,21,648239,0.01
309,21,650295,0.01
310,21,652351,0.01
311,21,654407,0.01
312,21,656463,0.01
313,20,658519,0.01
314,19,660575,0.01
315,19,662631,0.01
316,13,664687,0.01
317,8,666743,0.01
318,7,668799,0.01
319,1,670855,0.01
320,9,672911,0.01
321,4,674967,0.01
322,10,677023,0.01
323,8,679079,0.01
324,12,681135,0.01
325,13,683191,0.01
326,14,685247,0.01
327,13,687303,0.01
328,5,689359,0.01
329,0,691415,0.01
330,9,693471,0.01
331,4,695527,0.01
332,4,697583,0.01
333,11,699639,0.01
334,21,701695,0.01
335,13,703751,0.01
336,14,705807,0.01
337,20,707863,0.01
338,14,709919,0.01
339,6,711975,0.01
340,10,714031,0.01
341,13,716087,0.01
342,7,718143,0.01
343,6,720199,0.01
344,12,722255,0.01
345,11,724311,0.01
346,21,726367,0.01
347,19,728423,0.01
348,21,730479,0.01
349,13,732535,0.01
350,19,734591,0.01
351,21,736647,0.01
352,21,738703,0.01
353,18,740759,0.01
354,21,742815,0.01
355,14,744871,0.01
356,21,746927,0.01
357,21,748983,0.01
358,14,751039,0.01
359,17,753095,0.01
360,21,755151,0.01
361,21,757207,0.01
362,21,759263,0.01
363,21,761319,0.01
364,19,763375,0.01
365,11,765431,0.01
366,4,767487,0.01
367,-4,769543,0.01
368, 12,771599,0.01
369, 3,773655,0.01
370, 5,775711,0.01
371, 20,777767,0.01
372, 12,779823,0.01
373, 9,781879,0.01
374, 1,783935,0.01
375,-5,785991,0.01
376, 19,788047,0.01
377, 4,790103,0.01
378,-15,792159,0.01
379, 12,794215,0.01
380,7,796271,0.01
381,3,798327,0.01
382, 10,800383,0.01
383,-3,802439,0.01
384, 6,804495,0.01
385, -3,806551,0.01
