Checkpoint guardado en episodio 0
Episodio: 81, Recompensa: -13.0, Epsilon: 0.01, Frames: 146109
Episodio: 82, Recompensa: -13.0, Epsilon: 0.01, Frames: 148518
Episodio: 83, Recompensa: -11.0, Epsilon: 0.01, Frames: 150972
Episodio: 84, Recompensa: -11.0, Epsilon: 0.01, Frames: 153249
Episodio: 85, Recompensa: -13.0, Epsilon: 0.01, Frames: 155164
Episodio: 86, Recompensa: -8.0, Epsilon: 0.01, Frames: 157533
Episodio: 87, Recompensa: -3.0, Epsilon: 0.01, Frames: 160512
Episodio: 88, Recompensa: -8.0, Epsilon: 0.01, Frames: 162777
Episodio: 89, Recompensa: -9.0, Epsilon: 0.01, Frames: 165358
Episodio: 90, Recompensa: 6.0, Epsilon: 0.01, Frames: 168225
Checkpoint guardado en episodio 90
Episodio: 91, Recompensa: 7.0, Epsilon: 0.01, Frames: 170828
Episodio: 92, Recompensa: 4.0, Epsilon: 0.01, Frames: 174054
Episodio: 93, Recompensa: 7.0, Epsilon: 0.01, Frames: 176880
Episodio: 94, Recompensa: 7.0, Epsilon: 0.01, Frames: 179758
Episodio: 95, Recompensa: 10.0, Epsilon: 0.01, Frames: 182295
Episodio: 96, Recompensa: 12.0, Epsilon: 0.01, Frames: 185095
Episodio: 97, Recompensa: 6.0, Epsilon: 0.01, Frames: 187904
Episodio: 98, Recompensa: -9.0, Epsilon: 0.01, Frames: 190227
Episodio: 99, Recompensa: -6.0, Epsilon: 0.01, Frames: 192999
Episodio: 100, Recompensa: 5.0, Epsilon: 0.01, Frames: 196072
Checkpoint guardado en episodio 100
Episodio: 101, Recompensa: -7.0, Epsilon: 0.01, Frames: 198937
Episodio: 102, Recompensa: -1.0, Epsilon: 0.01, Frames: 202077
Episodio: 103, Recompensa: -5.0, Epsilon: 0.01, Frames: 204797
Episodio: 104, Recompensa: 7.0, Epsilon: 0.01, Frames: 207522
Episodio: 105, Recompensa: 17.0, Epsilon: 0.01, Frames: 209425
Episodio: 106, Recompensa: 6.0, Epsilon: 0.01, Frames: 212112
Episodio: 107, Recompensa: 19.0, Epsilon: 0.01, Frames: 214052
Episodio: 108, Recompensa: 15.0, Epsilon: 0.01, Frames: 216034
Episodio: 109, Recompensa: 16.0, Epsilon: 0.01, Frames: 217884
Episodio: 110, Recompensa: 19.0, Epsilon: 0.01, Frames: 219617
Checkpoint guardado en episodio 110
Episodio: 111, Recompensa: 6.0, Epsilon: 0.01, Frames: 222551
Episodio: 112, Recompensa: 16.0, Epsilon: 0.01, Frames: 224489
Episodio: 113, Recompensa: 20.0, Epsilon: 0.01, Frames: 226198
Episodio: 114, Recompensa: 20.0, Epsilon: 0.01, Frames: 227857
Episodio: 115, Recompensa: 19.0, Epsilon: 0.01, Frames: 229602
Episodio: 116, Recompensa: 4.0, Epsilon: 0.01, Frames: 232306
Episodio: 117, Recompensa: 12.0, Epsilon: 0.01, Frames: 234615
Episodio: 118, Recompensa: 11.0, Epsilon: 0.01, Frames: 237031
Episodio: 119, Recompensa: 16.0, Epsilon: 0.01, Frames: 238950
Episodio: 120, Recompensa: 20.0, Epsilon: 0.01, Frames: 240649
Checkpoint guardado en episodio 120
Episodio: 121, Recompensa: 18.0, Epsilon: 0.01, Frames: 242548
Episodio: 122, Recompensa: 18.0, Epsilon: 0.01, Frames: 244422
Episodio: 123, Recompensa: 20.0, Epsilon: 0.01, Frames: 246107
Episodio: 124, Recompensa: 10.0, Epsilon: 0.01, Frames: 248282
Episodio: 125, Recompensa: 6.0, Epsilon: 0.01, Frames: 250743
Episodio: 126, Recompensa: 20.0, Epsilon: 0.01, Frames: 252491
Episodio: 127, Recompensa: 14.0, Epsilon: 0.01, Frames: 254530
Episodio: 128, Recompensa: 15.0, Epsilon: 0.01, Frames: 256460
Episodio: 129, Recompensa: 14.0, Epsilon: 0.01, Frames: 258454
Episodio: 130, Recompensa: 16.0, Epsilon: 0.01, Frames: 260551
Checkpoint guardado en episodio 130
Episodio: 131, Recompensa: 8.0, Epsilon: 0.01, Frames: 262898
Episodio: 132, Recompensa: 6.0, Epsilon: 0.01, Frames: 265127
Episodio: 133, Recompensa: 11.0, Epsilon: 0.01, Frames: 267266
Episodio: 134, Recompensa: -1.0, Epsilon: 0.01, Frames: 269900
Episodio: 135, Recompensa: -1.0, Epsilon: 0.01, Frames: 272491
Episodio: 136, Recompensa: 17.0, Epsilon: 0.01, Frames: 274321
Episodio: 137, Recompensa: 15.0, Epsilon: 0.01, Frames: 276369
Episodio: 138, Recompensa: -3.0, Epsilon: 0.01, Frames: 279344
Episodio: 139, Recompensa: 9.0, Epsilon: 0.01, Frames: 281723
Episodio: 140, Recompensa: 9.0, Epsilon: 0.01, Frames: 284373
Checkpoint guardado en episodio 140
Episodio: 141, Recompensa: -1.0, Epsilon: 0.01, Frames: 287236
Episodio: 142, Recompensa: 11.0, Epsilon: 0.01, Frames: 289508
Episodio: 143, Recompensa: 13.0, Epsilon: 0.01, Frames: 291635
Episodio: 144, Recompensa: 20.0, Epsilon: 0.01, Frames: 293416
Episodio: 145, Recompensa: 20.0, Epsilon: 0.01, Frames: 295161
Episodio: 146, Recompensa: 18.0, Epsilon: 0.01, Frames: 297051
Episodio: 147, Recompensa: 13.0, Epsilon: 0.01, Frames: 299183
Episodio: 148, Recompensa: 15.0, Epsilon: 0.01, Frames: 301235
Episodio: 149, Recompensa: 18.0, Epsilon: 0.01, Frames: 303159
Episodio: 150, Recompensa: 7.0, Epsilon: 0.01, Frames: 305618
Checkpoint guardado en episodio 150
Episodio: 151, Recompensa: -1.0, Epsilon: 0.01, Frames: 308200
Episodio: 152, Recompensa: 6.0, Epsilon: 0.01, Frames: 310841
Episodio: 153, Recompensa: -1.0, Epsilon: 0.01, Frames: 313303
Episodio: 154, Recompensa: 14.0, Epsilon: 0.01, Frames: 315442
Episodio: 155, Recompensa: 11.0, Epsilon: 0.01, Frames: 317865
Episodio: 156, Recompensa: 16.0, Epsilon: 0.01, Frames: 319865
Episodio: 157, Recompensa: 13.0, Epsilon: 0.01, Frames: 322090
Episodio: 158, Recompensa: 4.0, Epsilon: 0.01, Frames: 324774
Episodio: 159, Recompensa: 18.0, Epsilon: 0.01, Frames: 326697
Episodio: 160, Recompensa: 18.0, Epsilon: 0.01, Frames: 328638
Checkpoint guardado en episodio 160
Episodio: 161, Recompensa: 17.0, Epsilon: 0.01, Frames: 330680
Episodio: 162, Recompensa: 15.0, Epsilon: 0.01, Frames: 333161
Episodio: 163, Recompensa: 15.0, Epsilon: 0.01, Frames: 335296
Episodio: 164, Recompensa: 18.0, Epsilon: 0.01, Frames: 337265
Episodio: 165, Recompensa: 19.0, Epsilon: 0.01, Frames: 339131
Episodio: 166, Recompensa: 17.0, Epsilon: 0.01, Frames: 341025
Episodio: 167, Recompensa: 14.0, Epsilon: 0.01, Frames: 343381
Episodio: 168, Recompensa: 16.0, Epsilon: 0.01, Frames: 345362
Episodio: 169, Recompensa: 2.0, Epsilon: 0.01, Frames: 348364
Episodio: 170, Recompensa: 13.0, Epsilon: 0.01, Frames: 350664
Checkpoint guardado en episodio 170
Episodio: 171, Recompensa: -18.0, Epsilon: 0.01, Frames: 351821
Episodio: 172, Recompensa: 5.0, Epsilon: 0.01, Frames: 354679
Episodio: 173, Recompensa: 12.0, Epsilon: 0.01, Frames: 356963
Episodio: 174, Recompensa: 19.0, Epsilon: 0.01, Frames: 358786
Episodio: 175, Recompensa: 12.0, Epsilon: 0.01, Frames: 361023
Episodio: 176, Recompensa: 13.0, Epsilon: 0.01, Frames: 363223
Episodio: 177, Recompensa: 19.0, Epsilon: 0.01, Frames: 365131
Episodio: 178, Recompensa: 16.0, Epsilon: 0.01, Frames: 367153
Episodio: 179, Recompensa: 19.0, Epsilon: 0.01, Frames: 368921
Episodio: 180, Recompensa: 15.0, Epsilon: 0.01, Frames: 371091
Checkpoint guardado en episodio 180
